date,hour,pm2.5_aqi_mean,pm10.0_aqi_mean,overall_aqi_mean,overall_aqi_lower_mean,overall_aqi_upper_mean
2024-07-03,20,35,8,35,32,39
2024-07-03,21,31,7,31,28,35
2024-07-03,22,31,7,31,28,34
2024-07-03,23,30,7,30,27,33
2024-07-04,0,30,6,30,27,33
2024-07-04,1,29,6,29,26,32
2024-07-04,2,29,6,29,26,31
2024-07-04,3,28,6,28,25,31
2024-07-04,4,28,6,28,25,30
2024-07-04,5,27,6,27,24,30
2024-07-04,6,26,6,26,24,29
2024-07-04,7,26,6,26,23,28
2024-07-04,8,25,6,25,23,28
2024-07-04,9,25,5,25,22,27
2024-07-04,10,24,5,24,22,27
2024-07-04,11,24,5,24,21,26
2024-07-04,12,23,5,23,21,25
2024-07-04,13,22,5,22,20,25
2024-07-04,14,40,10,40,37,43
2024-07-04,15,57,14,57,54,61
2024-07-04,16,55,14,55,51,58
2024-07-04,17,52,13,52,49,55
2024-07-04,18,50,12,50,47,53
2024-07-04,19,47,12,47,44,50
2024-07-04,20,45,11,45,42,47
2024-07-04,21,42,10,42,40,45
2024-07-04,22,40,10,40,37,42
2024-07-04,23,37,9,37,35,39
2024-07-05,0,35,9,35,32,37
2024-07-05,1,32,8,32,30,34
2024-07-05,2,30,7,30,28,32
2024-07-05,3,27,7,27,25,29
2024-07-05,4,25,6,25,23,26
2024-07-05,5,22,5,22,21,24
2024-07-05,6,20,5,20,18,21
2024-07-05,7,17,4,17,16,18
2024-07-05,8,15,4,15,13,16
2024-07-05,9,12,3,12,11,13
2024-07-05,10,10,2,10,9,10
2024-07-05,11,7,2,7,6,8
2024-07-05,12,9,2,9,8,9
2024-07-05,13,11,3,11,9,12
2024-07-05,14,63,24,63,59,67
2024-07-05,15,131,52,131,125,136
2024-07-05,16,13,3,13,12,14
2024-07-05,17,14,3,14,12,15
2024-07-05,18,15,3,15,13,16
2024-07-05,19,16,4,16,14,17
2024-07-05,20,17,4,17,15,18
2024-07-05,21,18,4,18,16,19
2024-07-05,22,19,4,19,17,20
2024-07-05,23,19,4,19,18,21
2024-07-06,0,20,5,20,18,22
2024-07-06,1,21,5,21,19,23
2024-07-06,2,22,5,22,20,24
2024-07-06,3,23,5,23,21,25
2024-07-06,4,24,5,24,22,26
2024-07-06,5,25,6,25,23,27
2024-07-06,6,26,6,26,24,28
2024-07-06,7,27,6,27,25,29
2024-07-06,8,28,6,28,25,30
2024-07-06,9,29,7,29,26,31
2024-07-06,10,30,7,30,27,32
2024-07-06,11,31,7,31,28,33
2024-07-06,12,32,7,32,29,34
2024-07-06,13,33,7,33,30,35
2024-07-06,14,34,8,34,31,36
2024-07-06,15,35,8,35,31,37
2024-07-06,16,36,8,36,32,38
2024-07-06,17,37,8,37,33,39
2024-07-06,18,37,8,37,34,40
2024-07-06,19,38,9,38,35,41
2024-07-06,20,39,9,39,36,42
2024-07-06,21,40,9,40,37,43
2024-07-06,22,41,9,41,37,45
2024-07-06,23,42,9,42,38,46
2024-07-07,0,43,10,43,39,47
2024-07-07,1,44,10,44,40,48
2024-07-07,2,45,10,45,41,49
2024-07-07,3,46,10,46,42,50
2024-07-07,4,47,11,47,43,51
2024-07-07,5,22,5,22,20,24
2024-07-07,6,14,3,14,12,15
2024-07-07,7,10,2,10,9,11
2024-07-07,8,8,2,8,7,9
2024-07-07,9,7,1,7,6,7
2024-07-07,10,6,1,6,5,7
2024-07-07,11,5,1,5,5,6
